MSN,YYYYMM,Value,EndUseSector,Description,Unit
TXRCBUS,194913,4460.434,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,195013,4829.337,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,195113,5104.476,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,195213,5158.193,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,195313,5052.515,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,195413,5262.307,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,195513,5607.812,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,195613,5839.383,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,195713,5743.9,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,195813,6125.37,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,195913,6188.311,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,196013,6650.835,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,196113,6775.61,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,196213,7079.711,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,196313,7089.813,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,196413,7111.751,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,196513,7279.422,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,196613,7500.386,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,196713,7711.36,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,196813,7932.745,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,196913,8242.797,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197013,8322.406,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197113,8427.451,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197213,8627.379,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197301,1313.816,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197302,1150.011,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197303,970.362,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197304,709.631,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197305,544.596,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197306,385.648,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197307,326.179,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197308,338.036,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197309,361.672,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197310,461.932,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197311,707.132,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197312,956.291,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197313,8225.308,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197401,1212.515,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197402,1036.361,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197403,897.426,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197404,724.092,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
TXRCBUS,197405,507.294,1,Primary Energy Consumed by the Residential Sector,Trillion Btu
